PROVEEDOR;REFERENCIA;COP METRO;USD METER;MUESTRARIO;T&C Traje 2P;T&C Traje 3P;T&C Pantalon;T&C Saco ;T&C Chaleco;T&C Camisa L2;PVC Traje 2;PVC Traje 3p;PVC PANTALON;PVC Saco;PVC Camisa;PVC Accesorios;PVP Traje 2P USD;PVP Traje 3P USD;PVP Pantalon USD;PVP Saco USD;PVP Camisa USD;PVP Accesorios USD;;;;;;;
PAÑOS ITALIANOS;S' 110'S - S' 120'S;235000;71,21212121;S' 110'S - S' 120'S;1152000;1440000;395500;756500;298000;0;2650000;3445000;927500;1987500;;;990;1287;346,5;742,5;0;0;;;;;;;
PAÑOS ITALIANOS;S' 150'S;380000;115,1515152;S' 150'S;1616000;2020000;584000;1032000;414000;0;3750000;4875000;1312500;2812500;;;1300;1690;455;975;0;0;;;;;;;
PAÑOS ITALIANOS;PREMIUM CAMISAS;70000;21,21212121;PREMIUM CAMISAS;0;0;0;0;0;187000;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
TEXTICORP;DORCELL;76900;23,3030303;DORCELL;646080;807600;189970;456110;171520;0;1700000;2210000;595000;1275000;;;690;897;241,5;517,5;0;0;;;;;;;
TEXTICORP;TORONTO;39000;11,81818182;TORONTO;524800;656000;140700;384100;141200;0;1500000;1950000;525000;1125000;;;520;676;182;390;0;0;;;;;;;
TEXTICORP;DRILL;30000;9,090909091;DRILL;0;0;129000;0;0;0;;0;330000;;;;0;0;160,1388889;0;0;0;;;;;;;
TEXTICORP;BARRIGNTON;170000;51,51515152;BARRIGNTON;0;0;0;633000;0;0;;0;0;1550000;;;0;0;0;690;0;0;;;;;;;
TEXTICORP;BARRIGNTON SUPER FINE;170000;51,51515152;BARRIGNTON;0;0;0;633000;0;0;;0;0;1750000;;;0;0;0;750;0;0;;;;;;;
DYSATEX;28 / 21 / 23;14780;4,478787879;COTTON BLENDED;0;0;0;0;0;87604;;0;0;0;280000;;0;0;0;0;100;0;;;;;;;
DYSATEX;25 / 26;16327;4,947575758;COTTON BLENDED;0;0;0;0;0;90388,6;;0;0;0;280000;;0;0;0;0;100;0;;;;;;;
DYSATEX;24 / 2660 - 2665 / 29;17631;5,342727273;COTTON BLENDED;0;0;0;0;0;92735,8;;0;0;0;280000;;0;0;0;0;100;0;;;;CRITHIAN;CAMISA 2L; $ 61.000 ; Surplus 
DYSATEX;30 / 31;18207;5,517272727;COTTON BLENDED;0;0;0;0;0;93772,6;;0;0;0;280000;;0;0;0;0;100;0;;;;CRITHIAN;CAMISA 3L; $ 65.000 ; $ 65.000 
DYSATEX;UV 10;21694;6,573939394;ALGODÓN EGIPCIO;0;0;0;0;0;100049,2;;0;0;0;370000;;0;0;0;0;140;0;;;;CRITHIAN;CAMISA 4L; $ 67.000 ; $ 67.000 
DYSATEX;UV 11;41154;12,47090909;ALGODÓN EGIPCIO;0;0;0;0;0;135077,2;;0;0;0;370000;;0;0;0;0;140;0;;;;CRITHIAN;CAMISASMOKING 2L; $ 70.000 ; $ 70.000 
DYSATEX;UV 12;20270;6,142424242;ALGODÓN EGIPCIO;0;0;0;0;0;97486;;0;0;0;370000;;0;0;0;0;140;0;;;;CRITHIAN;CAMISASMOKING 3L; $ 74.000 ; $ 74.000 
DYSATEX;UV 13;28028;8,493333333;ALGODÓN EGIPCIO;0;0;0;0;0;111450,4;;0;0;0;370000;;0;0;0;0;140;0;;;;CRITHIAN;CAMISASMOKING 4L; $ 76.000 ; $ 76.000 
DYSATEX;UV 14;30617;9,277878788;ALGODÓN EGIPCIO;0;0;0;0;0;116110,6;;0;0;0;370000;;0;0;0;0;140;0;;;;CRITHIAN;GUAYABERA 2L; $ 70.000 ; $ 70.000 
DYSATEX;UV 15;35007;10,60818182;ALGODÓN EGIPCIO;0;0;0;0;0;124012,6;;0;0;0;370000;;0;0;0;0;140;0;;;;CRITHIAN;GUAYABERA 3L; $ 74.000 ; $ 74.000 
DYSATEX;UV 16;24367;7,383939394;ALGODÓN EGIPCIO;0;0;0;0;0;104860,6;;0;0;0;370000;;0;0;0;0;140;0;;;;CRITHIAN;GUAYABERA 4L; $ 76.000 ; $ 76.000 
DYSATEX;UV 17;36571;11,08212121;ALGODÓN EGIPCIO;0;0;0;0;0;126827,8;;0;0;0;370000;;0;0;0;0;140;0;;;;;;;
DYSATEX;UV 17A;42040;12,73939394;ALGODÓN EGIPCIO;0;0;0;0;0;136672;;0;0;0;370000;;0;0;0;0;140;0;;;;;METROS PROMEDIO POR ARTICULO;;
DYSATEX;UV 18;47526;14,40181818;ALGODÓN EGIPCIO;0;0;0;0;0;146546,8;;0;0;0;370000;;0;0;0;0;140;0;;;;TRAJE 2P;3,2;;
DYSATEX;4176/42;13626;4,129090909;ALGODÓN EGIPCIO;0;0;0;0;0;85526,8;;0;0;0;370000;;0;0;0;0;140;0;;;;TRAJE 3P;4;;
DYSATEX;CT 1-016 - 1-018;37471;11,35484848;PIMA;0;0;0;0;0;128447,8;;0;0;0;370000;;0;0;0;0;140;0;;;;PANTALON;1,3;;
DYSATEX;CT 2-001 - 2-007;41364;12,53454545;PIMA;0;0;0;0;0;135455,2;;0;0;0;370000;;0;0;0;0;140;0;;;;SACO;1,9;;
DYSATEX;CT 3-001 - 3-006;45719;13,85424242;PIMA;0;0;0;0;0;143294,2;;0;0;0;370000;;0;0;0;0;140;0;;;;CHALECO;0,8;;
DYSATEX;CANTENBURY 86-1;35700;10,81818182;ALBINI;0;0;0;0;0;125260;;0;0;0;700000;;0;0;0;0;260;0;;;;CAMISA;1,8;;
DYSATEX;SUPER PIUMINO TWILL 551-1;59262;17,95818182;ALBINI;0;0;0;0;0;167671,6;;0;0;0;700000;;0;0;0;0;240;0;;;;;;;
DYSATEX;DUKE PREMIUM 44-10 / 44-11;59262;17,95818182;ALBINI;0;0;0;0;0;167671,6;;0;0;0;700000;;0;0;0;0;240;0;;;;;PRECIO INDICADOR;;
DYSATEX;ROYALONE 179-1;59262;17,95818182;ALBINI;0;0;0;0;0;167671,6;;0;0;0;700000;;0;0;0;0;240;0;;;;TRAJE 2P ;* 1;;
DYSATEX;ROYALE PREMIUM 53-1 / 53-5;59262;17,95818182;ALBINI;0;0;0;0;0;167671,6;;0;0;0;700000;;0;0;0;0;240;0;;;;TRAJE 3P;* 1,3;;
DYSATEX;PIUMINO PLUS;67830;20,55454545;ALBINI;0;0;0;0;0;183094;;0;0;0;700000;;0;0;0;0;240;0;;;;PANTALON;* 0,35;;
DYSATEX;JOURNEY 41;67830;20,55454545;ALBINI;0;0;0;0;0;183094;;0;0;0;700000;;0;0;0;0;240;0;;;;SACO;* 0,75;;
DYSATEX;PIQUET 100 PLUS;67830;20,55454545;ALBINI;0;0;0;0;0;183094;;0;0;0;700000;;0;0;0;0;240;0;;;;CHALECO;* 0,30;;
DYSATEX;ROYAL OXFORD 40-1;48010;14,54848485;ALBINI;0;0;0;0;0;147418;;0;0;0;700000;;0;0;0;0;240;0;;;;;;;
DYSATEX;ROYAL TWILL 300-1;61347;18,59;ALBINI;0;0;0;0;0;171424,6;;0;0;0;700000;;0;0;0;0;240;0;;;;;;;
DYSATEX;PORTLAND 120;72590;21,9969697;ALBINI;0;0;0;0;0;191662;;0;0;0;700000;;0;0;0;0;240;0;;;;;;;
DYSATEX;ROYALONE 78-16;72590;21,9969697;ALBINI;0;0;0;0;0;191662;;0;0;0;700000;;0;0;0;0;240;0;;;;;;;
DYSATEX;GAB LONDRA;72590;21,9969697;ALBINI;0;0;0;0;0;191662;;0;0;0;700000;;0;0;0;0;240;0;;;;;;;
DYSATEX;DOWNING;72590;21,9969697;ALBINI;0;0;0;0;0;191662;;0;0;0;700000;;0;0;0;0;240;0;;;;;;;
DYSATEX;TOWER PREMIUM;72590;21,9969697;ALBINI;0;0;0;0;0;191662;;0;0;0;700000;;0;0;0;0;240;0;;;;;;;
DYSATEX;DUKE PREMIUM 34-1 / 34-3;72590;21,9969697;ALBINI;0;0;0;0;0;191662;;0;0;0;700000;;0;0;0;0;240;0;;;;;;;
DYSATEX;TWILL GOLD LINE 402-83;72590;21,9969697;ALBINI;0;0;0;0;0;191662;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;DUKE PREM PLUS 40-15;72590;21,9969697;ALBINI;0;0;0;0;0;191662;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;ROYAL TW GOLD 056-33;72590;21,9969697;ALBINI;0;0;0;0;0;191662;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;YOGA TWILL 162-11;72590;21,9969697;ALBINI;0;0;0;0;0;191662;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;ZEPHIR 18 484-37 / 181-190;81615;24,73181818;ALBINI;0;0;0;0;0;207907;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
DYSATEX;ROYAL 123-1 / 123-3;94962;28,77636364;ALBINI;0;0;0;0;0;231931,6;;0;0;0;550000;;0;0;0;0;220;0;;;;;;;
